"De acuerdo con el art. 10 de la Constitución española, las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán en conformidad :",Con la Declaración Universal de los Derechos Humanos.,Con la normativa europea.,Con los tratados y los acuerdos internacionales sobre estas materias ratificados por España.,Las respuestas a) y c) son correctas.,4,El artículo 10 de la Constitución española establece que las normas relativas a los derechos fundamentales y libertades se interpretarán de acuerdo con la Declaración Universal de Derechos Humanos y los tratados internacionales ratificados por España.,Constitución Española 1978
"De acuerdo con el artículo 11 de la Constitución española, la nacionalidad española se adquiere, se conserva y se pierde:",De acuerdo con los tratados internacionales sobre nacionalidades y migración.,De acuerdo con lo que la Ley establece.,De acuerdo con la normativa civil.,De acuerdo con las conexiones sociales o vínculos familiares que el individuo tenga con otros españoles nativos.,2,"El artículo 11 de la Constitución española establece que la nacionalidad española se adquiere, conserva y pierde de acuerdo con lo que la Ley establece.",Constitución Española 1978
"Según el artículo 168 de la Constitución española, ¿cuándo se requiere la disolución inmediata de las Cortes Generales después de la aprobación de una reforma constitucional?",Cuando la reforma afecta al título preliminar.,Cuando la reforma afecta al título III.,Cuando la reforma afecta al título VIII.,Cuando la reforma afecta al título X.,1,El artículo 168 de la Constitución española establece que se requiere la disolución inmediata de las Cortes Generales cuando la reforma afecta al título preliminar.,Constitución Española 1978
¿En qué título de la Constitución española se establece la mayoría de edad de los españoles?,En el título preliminar.,En el título I.,En el título III.,En el título IV.,2,La mayoría de edad de los españoles se establece en el título I de la Constitución española.,Constitución Española 1978
"Según el artículo 14 de la Constitución española, los españoles son iguales ante la ley, sin que pueda prevalecer discriminación alguna:","Por razón de nacimiento, raza, religión, sexo o cualquier otra condición o circunstancia personal.","Por razón de nacimiento, sexo, raza, opinión, religión o cualquier otra condición o circunstancia personal o social.","Por razón de nacimiento, sexo, opinión o cualquier otra condición o circunstancia social.","Por razón de religión, raza, nacimiento o cualquier otra condición personal y social.",2,"El artículo 14 de la Constitución española prohíbe la discriminación por razón de nacimiento, sexo, raza, opinión, religión o cualquier otra condición o circunstancia personal o social.",Constitución Española 1978
"Según el artículo 168 de la Constitución española, aprobada una reforma total de la Constitución por las Cortes Generales, ¿qué se requiere para su ratificación?",La sanción y promulgación del rey.,La publicación en el Boletín Oficial del Estado.,Un referéndum.,Las respuestas a) y b) son correctas.,3,El artículo 168 de la Constitución española establece que se requiere un referéndum para ratificar una reforma total de la Constitución.,Constitución Española 1978
"Según el artículo 16 de la Constitución española, en cuanto a la obligación a declarar sobre la propia ideología, religión o creencias:",Será obligatorio cuando el Estado mayor lo considere necesario.,Será obligatorio declarar cuando aquella información se considere de vital importancia ante un peligro para el Estado.,"Nadie podrá ser obligado a declarar en cuanto a su ideología, religión o creencias.",Sólo los extranjeros podrán ser obligados a declarar en tiempo de guerra.,3,"El artículo 16 de la Constitución española establece que nadie podrá ser obligado a declarar sobre su ideología, religión o creencias.",Constitución Española 1978
"Según el artículo 16 de la Constitución española, la confesión oficial del Estado español es:",La religión católica.,La religión cristiana.,Aquella confesión que sea mayoritaria entre las creencias de la sociedad española.,Ninguna confesión tendrá carácter estatal.,4,El artículo 16 de la Constitución española establece que ninguna confesión tendrá carácter estatal.,Constitución Española 1978
"Según el artículo 17 de la Constitución española, toda persona detenida tiene derecho:",A ser informada inmediatamente de sus derechos y de las razones de la detención.,A no ser obligada a declarar.,A la asistencia de abogado.,"Las respuestas a), b) y c) son correctas.",4,"El artículo 17 de la Constitución española establece que toda persona detenida tiene derecho a ser informada de sus derechos, a no declarar y a la asistencia de abogado.",Constitución Española 1978
"Según el artículo 18 de la Constitución española, se garantiza el derecho:",Al honor.,A la propiedad privada.,A la intimidad personal y familiar y a la propia imagen.,Las respuestas a) y c) son correctas.,4,El artículo 18 de la Constitución española garantiza el derecho al honor y a la intimidad personal y familiar.,Constitución Española 1978
"Según el artículo 18 de la Constitución española, el domicilio es inviolable. No se podrá entrar ni hacer ningún registro sin el consentimiento del titular o:","O sin resolución judicial, salvo en caso de flagrante delito.","O sin resolución policial, salvo en el caso de flagrante delito.","Sin una orden de registro, salvo en el caso de posesión de armas.",Las respuestas a) y c) son correctas.,1,"El artículo 18 de la Constitución española establece que el domicilio es inviolable y no se puede entrar sin consentimiento o resolución judicial, salvo en caso de flagrante delito.",Constitución Española 1978
"Según el artículo 18 de la Constitución española, se garantiza el secreto de las comunicaciones y, especialmente, de las postales, telegráficas y telefónicas, excepto en caso de:",En caso de declaración del estado de excepción.,En caso de resolución militar en tiempo de guerra.,En caso de resolución judicial.,En caso de interés general del Estado.,3,El artículo 18 de la Constitución española establece que el secreto de las comunicaciones solo puede levantarse por resolución judicial.,Constitución Española 1978
"Según el artículo 18 de la Constitución española, la ley limitará el uso de la informática por tal de garantizar:",El honor de los ciudadanos españoles.,El honor y la intimidad personal de los ciudadanos y el respeto de sus libertades.,La intimidad personal de los ciudadanos y sus derechos fundamentales.,El honor y la intimidad personal y familiar de los ciudadanos y el pleno ejercicio de sus derechos.,4,"El artículo 18 de la Constitución española establece que la ley limitará el uso de la informática para garantizar el honor, la intimidad personal y familiar, y el pleno ejercicio de los derechos.",Constitución Española 1978
"Según el artículo 19 de la Constitución española, los españoles tienen derecho a entrar y salir libremente de España en la forma que la ley establezca. Este derecho no podrá ser limitado por motivos:",Económicos o políticos.,"Militares, políticos o sociales.",Políticos o ideológicos.,Políticos o militares.,3,El artículo 19 de la Constitución española establece que el derecho a entrar y salir de España no puede ser limitado por motivos políticos o ideológicos.,Constitución Española 1978
¿Cuál de los siguientes derechos NO se reconoce y protege en el artículo 20 de la Constitución española?,"A expresar y difundir libremente los pensamientos, las ideas y las opiniones mediante la palabra, la escritura o cualquier otro medio de reproducción.","A la producción y a la creación literaria, artística, científica y técnica.",A la libertad de cátedra.,A la libertad de enseñanza de la lengua oficial propia de las comunidades autónomas.,4,El artículo 20 de la Constitución española no menciona la libertad de enseñanza de la lengua oficial propia de las comunidades autónomas.,Constitución Española 1978
"Según el artículo 20 de la Constitución española, la ley regulará la organización y el control parlamentario de los medios de comunicación social que dependan del Estado o de cualquier entidad pública y garantizará el acceso a estos medios de los grupos sociales y políticos significativos, respetando:",El pluralismo político y de las diferentes lenguas de España.,El pluralismo de la sociedad y de las diferentes lenguas de España.,"El pluralismo ideológico, racial y de las diferentes confesiones religiosas de España.","El pluralismo social, de las diferentes ideologías políticas y creencias religiosas de España.",1,El artículo 20 de la Constitución española establece que se respetará el pluralismo político y de las diferentes lenguas de España.,Constitución Española 1978
